variant,symbol,direction,entry_event_ts,entry_bar_ts,entry_price,exit_event_ts,exit_bar_ts,exit_price,price_pnl_pct,funding_pnl_pct,pnl_pct,funding_at_entry,funding_received,bars_held,exit_reason
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-02 00:00:00+00:00,2025-08-02 00:00:00+00:00,162.91,2025-08-02 08:00:00+00:00,2025-08-02 08:00:00+00:00,164.55,0.010066908108771866,-3.654e-05,0.009030368108771867,-3.851e-05,3.654e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-03 00:00:00+00:00,2025-08-03 00:00:00+00:00,158.36,2025-08-03 08:00:00+00:00,2025-08-03 08:00:00+00:00,161.4,0.019196766860318126,5.92e-05,0.018255966860318124,-0.00010062,-5.92e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-03 08:00:00+00:00,2025-08-03 08:00:00+00:00,161.4,2025-08-03 16:00:00+00:00,2025-08-03 16:00:00+00:00,162.04,0.003965303593556291,7.571e-05,0.0030410135935562905,-5.92e-05,-7.571e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-03 16:00:00+00:00,2025-08-03 16:00:00+00:00,162.04,2025-08-04 00:00:00+00:00,2025-08-04 00:00:00+00:00,161.97,-0.00043199210071587224,0.00014534,-0.0012866521007158724,-7.571e-05,-0.00014534,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-04 00:00:00+00:00,2025-08-04 00:00:00+00:00,161.97,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,163.01,0.006420942149780728,6.297e-05,0.005483912149780728,-0.00014534,-6.297e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-04 08:00:00+00:00,2025-08-04 08:00:00+00:00,163.01,2025-08-04 16:00:00+00:00,2025-08-04 16:00:00+00:00,165.54,0.015520520213483824,6.458e-05,0.014585100213483825,-6.297e-05,-6.458e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-04 16:00:00+00:00,2025-08-04 16:00:00+00:00,165.54,2025-08-05 00:00:00+00:00,2025-08-05 00:00:00+00:00,169.46,0.023680077322701498,3.577e-05,0.0227158473227015,-6.458e-05,-3.577e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-05 00:00:00+00:00,2025-08-05 00:00:00+00:00,169.46,2025-08-05 08:00:00+00:00,2025-08-05 08:00:00+00:00,166.21,-0.01917856721350175,2.117e-05,-0.02015739721350175,-3.577e-05,-2.117e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-05 16:00:00+00:00,2025-08-05 16:00:00+00:00,163.81,2025-08-06 00:00:00+00:00,2025-08-06 00:00:00+00:00,163.96,0.0009156950125144281,6.84e-05,-1.5904987485572007e-05,-4.816e-05,-6.84e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-06 00:00:00+00:00,2025-08-06 00:00:00+00:00,163.96,2025-08-06 08:00:00+00:00,2025-08-06 08:00:00+00:00,164.02,0.00036594291290570347,3.584e-05,-0.0005982170870942966,-6.84e-05,-3.584e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-06 08:00:00+00:00,2025-08-06 08:00:00+00:00,164.02,2025-08-06 16:00:00+00:00,2025-08-06 16:00:00+00:00,169.16,0.03133764175100584,-1.84e-05,0.030319241751005838,-3.584e-05,1.84e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-16 00:00:00+00:00,2025-08-16 00:00:00+00:00,185.43,2025-08-16 08:00:00+00:00,2025-08-16 08:00:00+00:00,189.01,0.019306476837620545,-6.279e-05,0.018243686837620544,-4.219e-05,6.279e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-18 08:00:00+00:00,2025-08-18 08:00:00+00:00,180.78,2025-08-18 16:00:00+00:00,2025-08-18 16:00:00+00:00,183.1,0.012833278017479799,6.163e-05,0.011894908017479798,-5.077e-05,-6.163e-05,480,next_event
funding_carry_u5_eth_sol_1m,SOLUSDT,long,2025-08-18 16:00:00+00:00,2025-08-18 16:00:00+00:00,183.1,2025-08-19 00:00:00+00:00,2025-08-19 00:00:00+00:00,182.85,-0.001365374112506812,1.986e-05,-0.002345514112506812,-6.163e-05,-1.986e-05,480,next_event
